image,area,perimeter,aspect_ratio,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h
11-original-500x-paint-5 Sn_segmented.png,2562,253.48022747039795,0.4772727272727273,1260.951600312256,92.34777517564403,1238,48,42,88
11-original-500x-paint-5 Sn_segmented.png,636,129.88224935531616,0.7368421052631579,694.188679245283,85.20911949685535,682,64,28,38
11-original-500x-paint-5 Sn_segmented.png,1905,260.73506140708923,1.2903225806451613,824.9160104986877,92.22677165354331,785,64,80,62
11-original-500x-paint-5 Sn_segmented.png,18383,1116.1534488201141,1.395,220.45803187727793,183.19197084262635,58,74,279,200
11-original-500x-paint-5 Sn_segmented.png,2815,319.7472537755966,0.8,642.7840142095914,124.07957371225578,613,82,68,85
11-original-500x-paint-5 Sn_segmented.png,3206,279.2203425168991,1.4603174603174602,1049.036494073612,125.82470368059887,997,91,92,63
11-original-500x-paint-5 Sn_segmented.png,558,104.81118178367615,0.8571428571428571,275.5448028673835,110.60035842293907,261,93,30,35
11-original-500x-paint-5 Sn_segmented.png,3863,312.53405022621155,1.0357142857142858,1206.4297178358788,140.1273621537665,1164,92,87,84
11-original-500x-paint-5 Sn_segmented.png,2718,291.1198366880417,0.9146341463414634,532.5835172921265,130.6081677704194,496,95,75,82
11-original-500x-paint-5 Sn_segmented.png,1048,184.06601476669312,0.6666666666666666,748.2557251908397,124.3969465648855,733,101,36,54
11-original-500x-paint-5 Sn_segmented.png,32419,1376.8052508831024,1.9950980392156863,1089.4094204016164,210.6613097257781,873,101,407,204
11-original-500x-paint-5 Sn_segmented.png,7151,601.1097326278687,0.6824324324324325,438.8059012725493,192.4907006013145,383,115,101,148
11-original-500x-paint-5 Sn_segmented.png,607,103.05382215976715,1.1290322580645162,705.6820428336079,129.3146622734761,688,115,35,31
11-original-500x-paint-5 Sn_segmented.png,3341,402.04876935482025,0.34558823529411764,14.987428913498952,215.3657587548638,0,147,47,136
11-original-500x-paint-5 Sn_segmented.png,22205,858.5899593830109,0.7533632286995515,803.8371537941905,261.01242963296556,715,150,168,223
11-original-500x-paint-5 Sn_segmented.png,2364,214.79393637180328,0.9076923076923077,103.20939086294416,197.2944162436548,74,163,59,65
11-original-500x-paint-5 Sn_segmented.png,31579,1455.9423333406448,0.7350993377483444,601.1870546882421,335.7015104974825,502,163,222,302
11-original-500x-paint-5 Sn_segmented.png,2973,277.32084810733795,1.3442622950819672,681.3353514968046,198.16010763538515,641,167,82,61
11-original-500x-paint-5 Sn_segmented.png,2355,225.52185893058777,0.9130434782608695,914.4403397027601,218.23736730360935,882,186,63,69
11-original-500x-paint-5 Sn_segmented.png,660,115.98275470733643,0.9714285714285714,127.99545454545455,246.31969696969696,110,230,34,35
11-original-500x-paint-5 Sn_segmented.png,36639,1799.9911031723022,0.8166189111747851,392.1961843936789,452.32378067086984,220,231,285,349
11-original-500x-paint-5 Sn_segmented.png,8123,639.5533825159073,1.7478260869565216,974.5371168287578,290.7045426566539,883,246,201,115
11-original-500x-paint-5 Sn_segmented.png,787,120.71067655086517,0.9736842105263158,89.52096569250318,276.5184243964422,73,259,37,38
11-original-500x-paint-5 Sn_segmented.png,517,90.08326005935669,0.896551724137931,39.887814313346226,291.5899419729207,28,277,26,29
11-original-500x-paint-5 Sn_segmented.png,4418,383.9310188293457,0.6415094339622641,130.26278859212314,337.1059302851969,93,288,68,106
11-original-500x-paint-5 Sn_segmented.png,3364,303.1198378801346,1.144736842105263,224.4729488703924,337.03359096313915,177,298,87,76
11-original-500x-paint-5 Sn_segmented.png,5566,476.9432121515274,1.5730337078651686,996.3760330578513,349.7249371182177,915,301,140,89
11-original-500x-paint-5 Sn_segmented.png,2258,257.0782072544098,0.9545454545454546,59.5177147918512,338.0491585473871,25,308,63,66
11-original-500x-paint-5 Sn_segmented.png,4186,365.11983811855316,0.7289719626168224,25.893215480172003,391.9018155757286,0,331,78,107
11-original-500x-paint-5 Sn_segmented.png,1020,180.9949473142624,3.227272727272727,1229.6843137254903,355.6,1195,345,71,22
11-original-500x-paint-5 Sn_segmented.png,10540,631.3523724079132,0.9554140127388535,197.64478178368122,455.50512333965844,121,372,150,157
11-original-500x-paint-5 Sn_segmented.png,11030,948.3300739526749,0.5333333333333333,826.6281958295558,471.46074342701723,778,385,112,210
11-original-500x-paint-5 Sn_segmented.png,2398,268.0487698316574,1.180327868852459,1092.908256880734,413.4724770642202,1054,385,72,61
11-original-500x-paint-5 Sn_segmented.png,2212,304.77669167518616,1.0384615384615385,1155.135171790235,428.2025316455696,1109,390,81,78
11-original-500x-paint-5 Sn_segmented.png,19160,994.6143450737,1.0439024390243903,948.5042275574112,492.6469728601253,844,394,214,205
11-original-500x-paint-5 Sn_segmented.png,8622,602.3574250936508,0.6832298136645962,48.54882857805614,490.85154256553005,0,416,110,161
11-original-500x-paint-5 Sn_segmented.png,28560,1365.5087881088257,0.3442622950819672,1220.5879901960784,588.3692927170869,1154,425,126,366
11-original-500x-paint-5 Sn_segmented.png,621,133.88224959373474,0.8048780487804879,540.7584541062802,469.2093397745572,525,448,33,41
11-original-500x-paint-5 Sn_segmented.png,550,89.49747312068939,0.896551724137931,1103.2927272727272,482.88,1091,469,26,29
11-original-500x-paint-5 Sn_segmented.png,548,102.8111822605133,1.28,739.5675182481751,487.5620437956204,725,476,32,25
11-original-500x-paint-5 Sn_segmented.png,2729,302.77669167518616,1.537037037037037,594.3935507511909,511.9787467936973,553,482,83,54
11-original-500x-paint-5 Sn_segmented.png,1031,148.85281133651733,0.6153846153846154,1081.4413191076624,535.2541222114452,1067,510,32,52
11-original-500x-paint-5 Sn_segmented.png,654,134.95331728458405,0.6046511627906976,1136.2813455657492,547.7874617737003,1122,530,26,43
11-original-500x-paint-5 Sn_segmented.png,4010,424.6589410305023,1.3978494623655915,436.7496259351621,587.7219451371571,364,534,130,93
11-original-500x-paint-5 Sn_segmented.png,583,123.2964631319046,1.2,184.51114922813036,550.5608919382504,168,537,36,30
11-original-500x-paint-5 Sn_segmented.png,3536,465.0853468179703,1.96875,119.62330316742081,580.2024886877828,49,549,126,64
11-original-500x-paint-5 Sn_segmented.png,20019,1078.396089553833,1.4460093896713615,647.4762975173585,660.0983066087217,479,549,308,213
11-original-500x-paint-5 Sn_segmented.png,6734,458.6000665426254,1.037037037037037,927.2300267300267,619.3108108108108,868,566,112,108
11-original-500x-paint-5 Sn_segmented.png,630,109.98275518417358,0.7,1089.0587301587302,594.0507936507937,1077,574,28,40
11-original-500x-paint-5 Sn_segmented.png,620,113.88224923610687,0.8648648648648649,24.575806451612902,592.9258064516129,9,576,32,37
11-original-500x-paint-5 Sn_segmented.png,6545,454.17365980148315,1.1047619047619048,231.94728800611153,625.4928953399542,186,576,116,105
11-original-500x-paint-5 Sn_segmented.png,8746,603.7543940544128,0.7261904761904762,1012.8319231648753,688.3136290875829,944,591,122,168
11-original-500x-paint-5 Sn_segmented.png,858,143.4385986328125,0.8936170212765957,991.9941724941725,635.553613053613,971,610,42,47
11-original-500x-paint-5 Sn_segmented.png,1470,205.9655088186264,1.2272727272727273,592.3156462585034,636.1489795918367,567,613,54,44
11-original-500x-paint-5 Sn_segmented.png,1972,255.42135298252106,1.1071428571428572,315.5547667342799,655.6069979716025,288,623,62,56
11-original-500x-paint-5 Sn_segmented.png,2241,268.3919154405594,1.0701754385964912,502.9665327978581,655.6421240517626,471,628,61,57
11-original-500x-paint-5 Sn_segmented.png,2609,234.35028529167175,1.2666666666666666,409.1119202759678,667.0295132234572,371,634,76,60
11-original-500x-paint-5 Sn_segmented.png,64579,1314.4549641609192,1.5778688524590163,769.9361092615246,782.8664116818161,555,641,385,244
11-original-500x-paint-5 Sn_segmented.png,1261,176.65180110931396,1.0384615384615385,50.71451229183188,669.4068199841396,24,643,54,52
11-original-500x-paint-5 Sn_segmented.png,2188,245.48022878170013,0.6363636363636364,19.49314442413163,708.5502742230348,0,664,49,77
11-original-500x-paint-5 Sn_segmented.png,772,111.63960862159729,1.0606060606060606,139.87694300518135,681.2215025906736,123,665,35,33
11-original-500x-paint-5 Sn_segmented.png,915,176.26702570915222,0.39344262295081966,73.03715846994535,722.7464480874316,61,694,24,61
11-original-500x-paint-5 Sn_segmented.png,1259,210.71067655086517,0.2804878048780488,1270.878474980143,742.1795075456712,1257,698,23,82
11-original-500x-paint-5 Sn_segmented.png,864,116.95331740379333,1.0277777777777777,258.28819444444446,721.011574074074,243,703,37,36
11-original-500x-paint-5 Sn_segmented.png,6636,526.1564153432846,2.757575757575758,362.28345388788426,737.8149487643159,276,706,182,66
11-original-500x-paint-5 Sn_segmented.png,15793,635.6711336374283,0.9470198675496688,1095.118406889128,815.2932311783702,1023,734,143,151
11-original-500x-paint-5 Sn_segmented.png,778,137.15432810783386,0.825,11.601542416452443,777.1748071979434,0,759,33,40
11-original-500x-paint-5 Sn_segmented.png,4081,497.9726493358612,0.7889908256880734,257.8507718696398,820.4763538348444,225,776,86,109
11-original-500x-paint-5 Sn_segmented.png,2769,363.98989391326904,0.49514563106796117,141.94944023113038,830.7504514265078,119,782,51,103
11-original-500x-paint-5 Sn_segmented.png,5254,320.3086552619934,0.8777777777777778,36.62143129044537,848.4895317853064,0,795,79,90
11-original-500x-paint-5 Sn_segmented.png,712,111.63960862159729,1.2,387.46629213483146,809.6362359550562,372,796,36,30
11-original-500x-paint-5 Sn_segmented.png,726,111.0538227558136,0.8611111111111112,1225.8030303030303,822.0371900826447,1211,803,31,36
11-original-500x-paint-5 Sn_segmented.png,6348,401.40410804748535,1.4,514.5091367359798,845.8976055450536,461,805,112,80
11-original-500x-paint-5 Sn_segmented.png,689,136.18376553058624,0.32142857142857145,1272.7343976777938,851.4194484760523,1262,827,18,56
11-original-500x-paint-5 Sn_segmented.png,1700,230.99494671821594,1.8571428571428572,1209.790588235294,870.0211764705882,1178,843,78,42
11-original-500x-paint-5 Sn_segmented.png,951,145.63960886001587,1.8571428571428572,352.9894847528917,873.2187171398527,325,857,52,28
11_segmented.png,1961,287.1370825767517,0.5393258426966292,15.658847526772055,52.433452320244776,0,0,48,89
11_segmented.png,6594,472.5168055295944,1.0103092783505154,222.28647255080375,43.178192296026694,177,0,98,97
11_segmented.png,2672,298.65180134773254,2.8461538461538463,413.7305389221557,13.959206586826348,348,0,111,39
11_segmented.png,5260,377.42135310173035,2.3220338983050848,556.2266159695818,21.45722433460076,485,0,137,59
11_segmented.png,1389,207.7228696346283,2.0,673.8905687544997,14.302375809935205,643,0,66,33
11_segmented.png,529,94.76955199241638,0.8571428571428571,773.2022684310019,11.497164461247637,762,0,24,28
11_segmented.png,2343,228.40916073322296,1.392156862745098,830.9154929577464,19.515151515151516,802,0,71,51
11_segmented.png,10601,489.30360305309296,1.5555555555555556,960.3504386378644,41.43071408357702,890,0,140,90
11_segmented.png,12073,722.1564149856567,1.9259259259259258,1142.256191501698,33.77238465998509,1039,0,208,108
11_segmented.png,715,108.22539496421814,0.8235294117647058,308.1272727272727,19.527272727272727,295,3,28,34
11_segmented.png,861,158.1665199995041,0.8222222222222222,726.5516840882694,32.40301974448316,708,11,37,45
11_segmented.png,5178,403.0020862817764,0.8785046728971962,394.7726921591348,85.55465430668211,346,33,94,107
11_segmented.png,1390,158.75230622291565,1.1818181818181819,485.3028776978417,59.80431654676259,459,39,52,44
11_segmented.png,2996,295.94826424121857,0.6551724137931034,324.4305740987984,87.03404539385848,295,44,57,87
11_segmented.png,2562,253.48022747039795,0.4772727272727273,1260.951600312256,92.34777517564403,1238,48,42,88
11_segmented.png,636,129.88224935531616,0.7368421052631579,694.188679245283,85.20911949685535,682,64,28,38
11_segmented.png,1905,260.73506140708923,1.2903225806451613,824.9160104986877,92.22677165354331,785,64,80,62
11_segmented.png,18383,1116.1534488201141,1.395,220.45803187727793,183.19197084262635,58,74,279,200
11_segmented.png,2815,319.7472537755966,0.8,642.7840142095914,124.07957371225578,613,82,68,85
11_segmented.png,3206,279.2203425168991,1.4603174603174602,1049.036494073612,125.82470368059887,997,91,92,63
11_segmented.png,558,104.81118178367615,0.8571428571428571,275.5448028673835,110.60035842293907,261,93,30,35
11_segmented.png,3863,312.53405022621155,1.0357142857142858,1206.4297178358788,140.1273621537665,1164,92,87,84
11_segmented.png,2718,291.1198366880417,0.9146341463414634,532.5835172921265,130.6081677704194,496,95,75,82
11_segmented.png,1048,184.06601476669312,0.6666666666666666,748.2557251908397,124.3969465648855,733,101,36,54
11_segmented.png,32419,1376.8052508831024,1.9950980392156863,1089.4094204016164,210.6613097257781,873,101,407,204
11_segmented.png,7151,601.1097326278687,0.6824324324324325,438.8059012725493,192.4907006013145,383,115,101,148
11_segmented.png,607,103.05382215976715,1.1290322580645162,705.6820428336079,129.3146622734761,688,115,35,31
11_segmented.png,3341,402.04876935482025,0.34558823529411764,14.987428913498952,215.3657587548638,0,147,47,136
11_segmented.png,22205,858.5899593830109,0.7533632286995515,803.8371537941905,261.01242963296556,715,150,168,223
11_segmented.png,2364,214.79393637180328,0.9076923076923077,103.20939086294416,197.2944162436548,74,163,59,65
11_segmented.png,31579,1455.9423333406448,0.7350993377483444,601.1870546882421,335.7015104974825,502,163,222,302
11_segmented.png,2973,277.32084810733795,1.3442622950819672,681.3353514968046,198.16010763538515,641,167,82,61
11_segmented.png,2355,225.52185893058777,0.9130434782608695,914.4403397027601,218.23736730360935,882,186,63,69
11_segmented.png,660,115.98275470733643,0.9714285714285714,127.99545454545455,246.31969696969696,110,230,34,35
11_segmented.png,36639,1799.9911031723022,0.8166189111747851,392.1961843936789,452.32378067086984,220,231,285,349
11_segmented.png,8123,639.5533825159073,1.7478260869565216,974.5371168287578,290.7045426566539,883,246,201,115
11_segmented.png,787,120.71067655086517,0.9736842105263158,89.52096569250318,276.5184243964422,73,259,37,38
11_segmented.png,517,90.08326005935669,0.896551724137931,39.887814313346226,291.5899419729207,28,277,26,29
11_segmented.png,4418,383.9310188293457,0.6415094339622641,130.26278859212314,337.1059302851969,93,288,68,106
11_segmented.png,3364,303.1198378801346,1.144736842105263,224.4729488703924,337.03359096313915,177,298,87,76
11_segmented.png,5566,476.9432121515274,1.5730337078651686,996.3760330578513,349.7249371182177,915,301,140,89
11_segmented.png,2258,257.0782072544098,0.9545454545454546,59.5177147918512,338.0491585473871,25,308,63,66
11_segmented.png,4186,365.11983811855316,0.7289719626168224,25.893215480172003,391.9018155757286,0,331,78,107
11_segmented.png,1020,180.9949473142624,3.227272727272727,1229.6843137254903,355.6,1195,345,71,22
11_segmented.png,10540,631.3523724079132,0.9554140127388535,197.64478178368122,455.50512333965844,121,372,150,157
11_segmented.png,11030,948.3300739526749,0.5333333333333333,826.6281958295558,471.46074342701723,778,385,112,210
11_segmented.png,2398,268.0487698316574,1.180327868852459,1092.908256880734,413.4724770642202,1054,385,72,61
11_segmented.png,2212,304.77669167518616,1.0384615384615385,1155.135171790235,428.2025316455696,1109,390,81,78
11_segmented.png,19160,994.6143450737,1.0439024390243903,948.5042275574112,492.6469728601253,844,394,214,205
11_segmented.png,8622,602.3574250936508,0.6832298136645962,48.54882857805614,490.85154256553005,0,416,110,161
11_segmented.png,28560,1365.5087881088257,0.3442622950819672,1220.5879901960784,588.3692927170869,1154,425,126,366
11_segmented.png,621,133.88224959373474,0.8048780487804879,540.7584541062802,469.2093397745572,525,448,33,41
11_segmented.png,550,89.49747312068939,0.896551724137931,1103.2927272727272,482.88,1091,469,26,29
11_segmented.png,548,102.8111822605133,1.28,739.5675182481751,487.5620437956204,725,476,32,25
11_segmented.png,2729,302.77669167518616,1.537037037037037,594.3935507511909,511.9787467936973,553,482,83,54
11_segmented.png,1031,148.85281133651733,0.6153846153846154,1081.4413191076624,535.2541222114452,1067,510,32,52
11_segmented.png,654,134.95331728458405,0.6046511627906976,1136.2813455657492,547.7874617737003,1122,530,26,43
11_segmented.png,4010,424.6589410305023,1.3978494623655915,436.7496259351621,587.7219451371571,364,534,130,93
11_segmented.png,583,123.2964631319046,1.2,184.51114922813036,550.5608919382504,168,537,36,30
11_segmented.png,3536,465.0853468179703,1.96875,119.62330316742081,580.2024886877828,49,549,126,64
11_segmented.png,20019,1078.396089553833,1.4460093896713615,647.4762975173585,660.0983066087217,479,549,308,213
11_segmented.png,6734,458.6000665426254,1.037037037037037,927.2300267300267,619.3108108108108,868,566,112,108
11_segmented.png,630,109.98275518417358,0.7,1089.0587301587302,594.0507936507937,1077,574,28,40
11_segmented.png,620,113.88224923610687,0.8648648648648649,24.575806451612902,592.9258064516129,9,576,32,37
11_segmented.png,6545,454.17365980148315,1.1047619047619048,231.94728800611153,625.4928953399542,186,576,116,105
11_segmented.png,8746,603.7543940544128,0.7261904761904762,1012.8319231648753,688.3136290875829,944,591,122,168
11_segmented.png,858,143.4385986328125,0.8936170212765957,991.9941724941725,635.553613053613,971,610,42,47
11_segmented.png,1470,205.9655088186264,1.2272727272727273,592.3156462585034,636.1489795918367,567,613,54,44
11_segmented.png,1972,255.42135298252106,1.1071428571428572,315.5547667342799,655.6069979716025,288,623,62,56
11_segmented.png,2241,268.3919154405594,1.0701754385964912,502.9665327978581,655.6421240517626,471,628,61,57
11_segmented.png,2609,234.35028529167175,1.2666666666666666,409.1119202759678,667.0295132234572,371,634,76,60
11_segmented.png,64579,1314.4549641609192,1.5778688524590163,769.9361092615246,782.8664116818161,555,641,385,244
11_segmented.png,1261,176.65180110931396,1.0384615384615385,50.71451229183188,669.4068199841396,24,643,54,52
11_segmented.png,2188,245.48022878170013,0.6363636363636364,19.49314442413163,708.5502742230348,0,664,49,77
11_segmented.png,772,111.63960862159729,1.0606060606060606,139.87694300518135,681.2215025906736,123,665,35,33
11_segmented.png,915,176.26702570915222,0.39344262295081966,73.03715846994535,722.7464480874316,61,694,24,61
11_segmented.png,1259,210.71067655086517,0.2804878048780488,1270.878474980143,742.1795075456712,1257,698,23,82
11_segmented.png,864,116.95331740379333,1.0277777777777777,258.28819444444446,721.011574074074,243,703,37,36
11_segmented.png,6636,526.1564153432846,2.757575757575758,362.28345388788426,737.8149487643159,276,706,182,66
11_segmented.png,15793,635.6711336374283,0.9470198675496688,1095.118406889128,815.2932311783702,1023,734,143,151
11_segmented.png,778,137.15432810783386,0.825,11.601542416452443,777.1748071979434,0,759,33,40
11_segmented.png,4081,497.9726493358612,0.7889908256880734,257.8507718696398,820.4763538348444,225,776,86,109
11_segmented.png,2769,363.98989391326904,0.49514563106796117,141.94944023113038,830.7504514265078,119,782,51,103
11_segmented.png,5254,320.3086552619934,0.8777777777777778,36.62143129044537,848.4895317853064,0,795,79,90
11_segmented.png,712,111.63960862159729,1.2,387.46629213483146,809.6362359550562,372,796,36,30
11_segmented.png,726,111.0538227558136,0.8611111111111112,1225.8030303030303,822.0371900826447,1211,803,31,36
11_segmented.png,6348,401.40410804748535,1.4,514.5091367359798,845.8976055450536,461,805,112,80
11_segmented.png,689,136.18376553058624,0.32142857142857145,1272.7343976777938,851.4194484760523,1262,827,18,56
11_segmented.png,1700,230.99494671821594,1.8571428571428572,1209.790588235294,870.0211764705882,1178,843,78,42
11_segmented.png,951,145.63960886001587,1.8571428571428572,352.9894847528917,873.2187171398527,325,857,52,28
14_segmented.png,6765,398.99494647979736,0.7377049180327869,30.273762010347376,49.39881744271988,0,0,90,122
14_segmented.png,6552,536.3330404758453,3.542372881355932,377.0274725274725,18.766178266178265,290,0,209,59
14_segmented.png,671,112.18376541137695,1.9090909090909092,633.0745156482861,8.436661698956781,611,0,42,22
14_segmented.png,1077,174.02438473701477,0.5357142857142857,749.9693593314763,21.246053853296193,737,0,30,56
14_segmented.png,22041,1276.4377199411392,1.0269058295964126,922.673835125448,84.07944285649471,794,0,229,223
14_segmented.png,1277,160.61017096042633,1.4102564102564104,1122.9616288175412,16.37979639780736,1095,0,55,39
14_segmented.png,2062,228.61017107963562,1.0740740740740742,1248.63676042677,21.324442289039766,1222,0,58,54
14_segmented.png,4360,326.77669155597687,0.7641509433962265,1054.7325688073395,62.581422018348626,1014,13,81,106
14_segmented.png,612,99.15432786941528,0.8709677419354839,639.7663398692811,47.90359477124183,628,33,27,31
14_segmented.png,6865,396.9604572057724,1.3493975903614457,128.1254187909687,77.3713037144938,69,34,112,83
14_segmented.png,781,120.81118178367615,1.5357142857142858,464.95646606914215,57.403329065300895,444,44,43,28
14_segmented.png,546,99.05382263660431,1.3461538461538463,716.2252747252747,58.43589743589744,699,46,35,26
14_segmented.png,5655,365.0609632730484,0.9714285714285714,1166.081343943413,102.12519893899204,1113,56,102,105
14_segmented.png,1209,199.96551048755646,0.5733333333333334,497.01902398676594,93.93961952026469,475,58,43,75
14_segmented.png,1763,200.20814979076385,0.6764705882352942,300.59897901304595,105.24673851389677,278,71,46,68
14_segmented.png,2017,289.9066343307495,0.5698924731182796,675.8125929598414,119.46554288547348,647,70,53,93
14_segmented.png,5027,326.0904002189636,0.7938144329896907,374.72727272727275,124.91863934752337,336,76,77,97
14_segmented.png,6206,487.3279877901077,2.1944444444444446,202.46181115049953,131.90863680309377,115,94,158,72
14_segmented.png,521,119.05382239818573,1.7142857142857142,444.6890595009597,110.96353166986565,427,101,36,21
14_segmented.png,7994,457.1614669561386,0.5540540540540541,1245.6731298473856,188.75744308231174,1198,110,82,148
14_segmented.png,2158,253.66399383544922,0.4945054945054945,1057.7812789620018,159.50231696014828,1037,114,45,91
14_segmented.png,925,147.43859803676605,1.4848484848484849,50.68756756756757,149.92756756756756,25,136,49,33
14_segmented.png,2534,320.4335459470749,0.776595744680851,280.88950276243094,189.1006314127861,251,147,73,94
14_segmented.png,1938,249.66399312019348,0.9594594594594594,527.1449948400412,188.11351909184725,489,156,71,74
14_segmented.png,640,110.56854128837585,0.8108108108108109,865.7515625,177.615625,852,161,30,37
14_segmented.png,7295,431.20309817790985,1.4893617021276595,1143.9309115832762,218.8681288553804,1077,172,140,94
14_segmented.png,5311,573.612260222435,1.075,136.89738279043496,241.0289964225193,75,182,129,120
14_segmented.png,1823,180.85281193256378,0.9074074074074074,574.8365331870543,217.93856280855732,548,189,49,54
14_segmented.png,793,126.71067655086517,0.925,783.172761664565,208.03656998738967,765,189,37,40
14_segmented.png,896,142.02438485622406,0.7608695652173914,662.0401785714286,210.87165178571428,642,191,35,46
14_segmented.png,513,91.74011516571045,1.1111111111111112,890.2943469785575,203.82456140350877,877,190,30,27
14_segmented.png,1471,166.50966656208038,0.8461538461538461,359.7015635622026,220.86947654656697,336,197,44,52
14_segmented.png,1570,185.82337427139282,1.375,1026.0178343949044,226.84331210191084,993,200,66,48
14_segmented.png,545,89.25483274459839,0.8064516129032258,629.2146788990825,229.84954128440367,618,214,25,31
14_segmented.png,2088,271.5634890794754,1.5849056603773586,834.1901340996169,239.3764367816092,795,214,84,53
14_segmented.png,7452,554.2396746873856,1.3,211.1862587224906,281.2482555018787,127,220,156,120
14_segmented.png,2320,327.6467487812042,1.082191780821918,343.0254310344828,273.089224137931,307,230,79,73
14_segmented.png,5283,389.20309937000275,1.1122448979591837,933.531326897596,273.56899488926746,885,230,109,98
14_segmented.png,6541,553.0853471755981,0.8,477.64806604494726,304.7778627121235,432,246,96,120
14_segmented.png,1444,216.06601512432098,1.0,672.4217451523546,273.04639889196676,652,246,54,54
14_segmented.png,702,128.225395321846,0.7906976744186046,625.3176638176639,280.6709401709402,610,258,34,43
14_segmented.png,5422,361.98989474773407,2.1451612903225805,1090.294356326079,295.2947251936555,1023,263,133,62
14_segmented.png,666,118.36753153800964,1.4827586206896552,577.2102102102102,280.5810810810811,556,266,43,29
14_segmented.png,3970,350.77669179439545,0.967391304347826,42.750629722921914,312.22518891687656,0,271,89,92
14_segmented.png,984,129.05382239818573,1.40625,1204.1361788617887,293.4308943089431,1181,279,45,32
14_segmented.png,3260,379.2447283267975,1.3406593406593406,754.7119631901841,335.40245398773004,695,293,122,91
14_segmented.png,3326,295.60511910915375,1.1891891891891893,270.8758268190018,328.34455802766087,230,295,88,74
14_segmented.png,6074,391.78888463974,1.107843137254902,343.89562067830093,354.07211063549556,288,304,113,102
14_segmented.png,1921,217.37972331047058,1.8181818181818181,1141.7438833940655,336.4554919312858,1099,313,80,44
14_segmented.png,857,122.36753129959106,1.5517241379310345,1013.3465577596266,340.3500583430572,992,326,45,29
14_segmented.png,20013,733.7787790298462,0.9333333333333333,826.1316144506071,428.39179533303354,743,332,168,180
14_segmented.png,1999,215.62236392498016,1.0526315789473684,196.75987993996998,368.10055027513755,164,336,60,57
14_segmented.png,1934,190.40916097164154,1.6666666666666667,1237.41158221303,356.864012409514,1205,339,70,42
14_segmented.png,970,158.02438533306122,1.3421052631578947,129.64226804123712,366.75567010309277,100,347,51,38
14_segmented.png,1439,168.85281229019165,1.2380952380952381,20.640027797081306,367.9166087560806,0,348,52,42
14_segmented.png,7619,421.3036023378372,1.5,593.8909305683161,398.19621997637483,526,351,132,88
14_segmented.png,714,109.15432798862457,1.3333333333333333,1095.6680672268908,373.7226890756302,1077,360,36,27
14_segmented.png,2902,281.6639938354492,1.1159420289855073,484.8583735354928,401.48518263266715,449,370,77,69
14_segmented.png,1618,202.40916085243225,0.5063291139240507,403.78739184178,415.24721878862795,383,375,40,79
14_segmented.png,1956,216.45079028606415,1.0,964.4519427402863,407.780163599182,934,379,61,61
14_segmented.png,1488,189.23758792877197,0.4861111111111111,253.5665322580645,413.6149193548387,234,383,35,72
14_segmented.png,6559,388.0315246582031,1.064516129032258,1211.0884281140418,435.267266351578,1160,387,99,93
14_segmented.png,593,96.8111822605133,0.875,364.9881956155143,411.16694772344016,350,396,28,32
14_segmented.png,892,145.43859815597534,1.6451612903225807,1026.8464125560538,428.5818385650224,1002,415,51,31
14_segmented.png,2189,217.48022866249084,0.64,349.29602558245773,460.2165372316126,326,425,48,75
14_segmented.png,5092,353.4041086435318,0.8877551020408163,93.35938727415554,479.75490966221525,48,429,87,98
